Req ID,Priority,Requirement,Stakeholder,Acceptance Criterion,Category,Status
REQ-001,Must Have,All fees must be displayed to the consumer at the point of ticket selection before any account creation or queue entry,"Consumer, Regulator",Consumer sees full all-in price within 2 clicks of selecting a ticket. No fees revealed for the first time at checkout.,Fee Disclosure,Not implemented on 3 of 5 platforms
REQ-002,Must Have,Each fee must be individually itemised and labelled in plain language with a one-sentence explanation of what it covers,"Consumer, Regulator","Service fee, facility fee, order processing fee, and delivery fee each display with a tooltip or label explaining the charge",Fee Disclosure,Not implemented on any platform
REQ-003,Must Have,Platforms must display the all-in price in all search results and event listing pages alongside the face value,"Consumer, Regulator",Search results show both face value and total price including all fees before the consumer clicks into an event,Fee Disclosure,Not implemented on any platform
REQ-004,Must Have,Resale tickets must not be listed above original face value as set by the event organiser,"Consumer, Artist, Venue",Platform rejects any resale listing above verified face value. Face value verified against original ticket issuance record.,Resale Control,Implemented on Ticketmaster and StubHub Canada
REQ-005,Must Have,Platforms must provide a full fee breakdown in the order confirmation email matching exactly what was displayed at checkout,Consumer,Confirmation email contains line-by-line fee detail. No fee may appear in the email that was not disclosed at checkout.,Fee Disclosure,Partially implemented
REQ-006,Must Have,Digital ticket delivery must not be charged as a separate fee when no physical item is being produced or shipped,"Consumer, Regulator",PDF and mobile wallet delivery are included in the base transaction. Delivery fee only permitted for physical mail delivery.,Fee Structure,Not implemented
REQ-007,Should Have,Platforms must report quarterly fee revenue data to the Canadian Radio-television and Telecommunications Commission or designated regulator,Regulator,Quarterly report submitted within 30 days of quarter end including total fee revenue by fee type and average fee per transaction,Regulatory Reporting,Not implemented
REQ-008,Should Have,Consumers must be able to opt out of non-essential fees such as ticket insurance at the point of selection not as a pre-checked default,Consumer,Ticket insurance and add-on products default to deselected. Consumer must actively opt in.,Consumer Choice,Not implemented
REQ-009,Should Have,High demand events triggering virtual queues must display the all-in price before the consumer joins the queue,Consumer,Queue entry page shows estimated total price including all fees. Consumer confirmed price-aware before wait begins.,Fee Disclosure,Not implemented
REQ-010,Should Have,Platforms must provide a price comparison tool showing the same event listed across multiple authorised sellers,Consumer,Consumer can view all authorised sellers for an event and their all-in prices on a single comparison screen,Consumer Choice,Not implemented
REQ-011,Could Have,Platforms must publish an annual consumer fee report showing average fees charged by event category and venue,"Consumer, Media, Regulator",Annual report published on platform website by January 31 each year covering the prior calendar year,Transparency,Not implemented
REQ-012,Could Have,Venues must disclose their facility fee calculation methodology to the designated regulator upon request,"Regulator, Venue",Methodology document submitted within 14 days of regulator request,Regulatory Reporting,Not implemented
REQ-013,Must Have,Platforms must offer a full refund including all fees for any event cancelled by the organiser within 7 business days,Consumer,Refund processed within 7 business days for cancellations. All fees refunded not just face value.,Consumer Protection,Inconsistently implemented
REQ-014,Should Have,Mobile-only ticket delivery platforms must provide an accessible alternative for consumers without smartphones,"Consumer, Accessibility Regulator",At least one non-mobile delivery option available for all events at no additional charge,Accessibility,Not implemented
REQ-015,Could Have,Platforms must notify consumers by email or push notification when the all-in price for a saved event drops below a threshold set by the consumer,Consumer,Price alert system available for all logged-in consumers with configurable threshold,Consumer Choice,Not implemented
