Risk ID,Risk Description,Category,Likelihood,Consequence,Risk Rating,Mitigation
RSK-001,"Ticketmaster challenges regulatory mandate legally, delaying implementation by 12 to 18 months",Regulatory,High,High,Critical,Engage legal counsel early. Model precedent from EU and Australian ticketing regulations. Build 18-month delay buffer into project timeline.
RSK-002,"Platforms comply technically but redesign fee display to minimize consumer comprehension — small print, confusing labels",Compliance,High,Medium,High,"Requirements must specify minimum font size, label clarity standards, and plain language requirements. Include consumer testing in compliance verification."
RSK-003,"Platforms absorb fee into face value rather than disclose separately, making total price appear higher and shifting blame to artists and venues",Market,Medium,High,High,Require fee itemisation not just all-in price. Face value must be verifiable against original event organiser filing.
RSK-004,Federal and provincial jurisdiction dispute stalls national standard and results in inconsistent provincial rules,Regulatory,Medium,High,High,Establish clear federal mandate with opt-in provincial enhancement. Model after national food labelling standards framework.
RSK-005,Consumer awareness campaign fails to drive behavioural change — consumers continue purchasing despite high fees,Adoption,Medium,Medium,Medium,Transparency alone may not change behaviour. Pair with fee cap legislation or maximum fee percentage regulation as secondary measure.
RSK-006,"Technology integration between venues, platforms, and payment processors creates delays in fee disclosure system implementation",Technical,Medium,Medium,Medium,Phased rollout starting with largest platforms. Provide API documentation and 12-month implementation window.
RSK-007,Independent venues and smaller platforms lack technical resources to implement disclosure requirements on the same timeline as large platforms,Implementation,High,Low,Medium,Two-tier implementation timeline. Large platforms 6 months. Small platforms 18 months. Provide compliance toolkit and template.
RSK-008,Regulatory body lacks enforcement budget and capacity to monitor compliance across all platforms,Regulatory,Medium,High,High,Self-certification model with random audit. Platform-funded compliance levy to cover regulatory monitoring costs.
RSK-009,International platforms operating in Canada claim exemption from Canadian consumer protection rules,Regulatory,Low,High,Medium,Legislation applies to any platform selling tickets to Canadian consumers regardless of where the platform is incorporated.
RSK-010,Media cycle moves on before regulation is passed reducing political pressure to act,Political,Medium,Medium,Medium,Coalition of consumer advocacy groups maintains ongoing public pressure. Annual consumer fee report keeps issue visible.
